2026-09-04T02:39:57Z === BENCHMARK SESSION START ===
2026-09-04T02:39:57Z host=agent kernel=7.0.0-30-generic cpus=32 mem_gb=60
2026-09-04T02:39:57Z disk: /dev/sdc3       1.8T  8.1G  1.7T   1% /mnt/2tbssd
2026-09-04T02:39:57Z mount: /dev/sdc3 on /mnt/2tbssd type ext4 (rw,nosuid,nodev,relatime,stripe=8191)
2026-09-04T02:39:57Z bmc source commit: aadd7509dc023ea09a85cc6a6f941304e8713b2a
2026-09-04T02:39:57Z bmc working tree uncommitted entries: 4
2026-09-04T02:52:32Z core run1 (ports 8563) aborted intentionally at 02:52Z: stagger decision - bmc must own the box first; datadir wiped
2026-09-04T02:58:19Z peer audit: pool median-of-medians 2.7KB/s, 22/22 workers below the 32KB/s dead-weight floor; only 2 early-kills -> floor is effectively unreachable at early-chain block sizes (min-blocks exemption keeps 10 blk/s peers alive at ~2KB/s)
2026-09-04T11:13:26Z TICK bmc_alive=17 result=pending prog='6:46:08 stored 638978/965427' avg='10.9MB/s recv, 10.9MB/s write --' | core result=pending prog='' | oracle_tip=965468
2026-09-04T11:16:20Z main-tree publish: 7758457 benchmarks: bmc-vs-Core fresh IBD + serve run on dedicated SSD (live: bmc=pending core=pending)
2026-09-04T11:28:28Z TICK bmc_alive=17 result=pending prog='7:01:09 stored 647142/965427' avg='10.9MB/s recv, 10.9MB/s write --' | core result=pending prog='' | oracle_tip=965470
2026-09-04T11:43:31Z TICK bmc_alive=17 result=pending prog='7:16:09 stored 655446/965427' avg='10.9MB/s recv, 10.9MB/s write --' | core result=pending prog='' | oracle_tip=965472
2026-09-04T11:58:34Z TICK bmc_alive=17 result=pending prog='7:31:20 stored 663744/965427' avg='10.9MB/s recv, 10.9MB/s write --' | core result=pending prog='' | oracle_tip=965472
2026-09-04T12:13:36Z TICK bmc_alive=17 result=pending prog='7:46:20 stored 671685/965427' avg='10.9MB/s recv, 10.9MB/s write --' | core result=pending prog='' | oracle_tip=965474
2026-09-04T12:28:39Z TICK bmc_alive=17 result=pending prog='8:01:21 stored 679587/965427' avg='10.9MB/s recv, 10.9MB/s write --' | core result=pending prog='' | oracle_tip=965474
2026-09-04T12:43:41Z TICK bmc_alive=17 result=pending prog='8:16:21 stored 687408/965427' avg='11.0MB/s recv, 10.9MB/s write --' | core result=pending prog='' | oracle_tip=965476
2026-09-04T12:58:45Z TICK bmc_alive=17 result=pending prog='8:31:31 stored 697105/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965477
2026-09-04T13:13:47Z TICK bmc_alive=17 result=pending prog='8:46:32 stored 706456/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965480
2026-09-04T13:20:17Z PUBLISH: origin/main moved and rebase conflicted -- pushing to the fixed base anyway
2026-09-04T13:20:36Z main-tree publish: 66922eb benchmarks: live tick (bmc=pending core=pending) 202
2026-09-04T13:28:50Z TICK bmc_alive=17 result=pending prog='9:01:32 stored 715435/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965480
2026-09-04T13:43:52Z TICK bmc_alive=17 result=pending prog='9:16:32 stored 724489/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965481
2026-09-04T13:58:55Z TICK bmc_alive=17 result=pending prog='9:31:43 stored 733519/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965481
2026-09-04T14:13:58Z TICK bmc_alive=17 result=pending prog='9:46:43 stored 742120/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965484
2026-09-04T14:29:02Z TICK bmc_alive=17 result=pending prog='10:01:43 stored 750430/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965489
2026-09-04T14:44:05Z TICK bmc_alive=17 result=pending prog='10:16:44 stored 759585/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965492
2026-09-04T14:59:08Z TICK bmc_alive=17 result=pending prog='10:31:54 stored 768067/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965493
2026-09-04T15:14:11Z TICK bmc_alive=17 result=pending prog='10:46:54 stored 775947/965427' avg='11.0MB/s recv, 11.0MB/s write --' | core result=pending prog='' | oracle_tip=965494
